"NSE";"YAHOO"
"POLARIS";"POLARIS.NS"
"POWERGRID";"POWERGRID.NS"
"PRAJIND";"PRAJIND.NS"
"PTC";"PTC.NS"
"PUNJLLOYD";"PUNJLLOYD.NS"
"RANBAXY";"RANBAXY.NS"
"RCOM";"RCOM.NS"
"RECLTD";"RECLTD.NS"
"RELCAPITAL";"RELCAPITA.NS"
"RELIANCE";"RELIANCE.NS"
"RELINFRA";"RELINFRA.NS"
"RELMEDIA";"RELMEDIA.NS"
"RENUKA";"RENUKA.NS"
"ROLTA";"ROLTA.NS"
"RPOWER";"RPOWER.NS"
"RUCHISOYA";"RUCHISOYA.NS"
"SAIL";"SAIL.NS"
"SBIN";"SBIN.NS"
"SCI";"SCI.NS"
"SESAGOA";"SESAGOA.NS"
"SIEMENS";"SIEMENS.NS"
"SINTEX";"SINTEX.NS"
"SKUMARSYNF";"SKUMARSYN.NS"
"SOBHA";"SOBHA.NS"
"SREINFRA";"SREINFRA.NS"
"SRTRANSFIN";"SRTRANSFI.NS"
"STER";"STER.NS"
"STERLINBIO";"STERLINBI.NS"
"STRTECH";"STRTECH.NS"
"SUNPHARMA";"SUNPHARMA.NS"
"SUNTV";"SUNTV.NS"
"SUZLON";"SUZLON.NS"
"SYNDIBANK";"SYNDIBANK.NS"
"TATACHEM";"TATACHEM.NS"
"TATACOMM";"TATACOMM.NS"
"TATAGLOBAL";"TATAGLOBA.NS"
"TATAMOTORS";"TATAMOTOR.NS"
"TATAMTRDVR";"TATAMTRDV.NS"
"TATAPOWER";"TATAPOWER.NS"
"TATASTEEL";"TATASTEEL.NS"
"TCS";"TCS.NS"
"TECHM";"TECHM.NS"
"TITAN";"TITAN.NS"
"TRIVENI";"TRIVENI.NS"
"TTML";"TTML.NS"
"TULIP";"TULIP.NS"
"TV18";"TV-18.NS"
"TVSMOTOR";"TVSMOTOR.NS"
"UCOBANK";"UCOBANK.NS"
"ULTRACEMCO";"ULTRACEMC.NS"
"UNIONBANK";"UNIONBANK.NS"
"UNIPHOS";"UNIPHOS.NS"
"UNITECH";"UNITECH.NS"
"VIDEOIND";"VIDEOIND.NS"
"VIJAYABANK";"VIJAYABAN.NS"
"VOLTAS";"VOLTAS.NS"
"WELCORP";"WELCORP.NS"
"WIPRO";"WIPRO.NS"
"YESBANK";"YESBANK.NS"
"ZEEL";"ZEEL.NS"
