"","Date","Day","For Trading","For Settlement","Reason","Date","Month","Year","Equity URL","Derivative URL"
"1","2001-01-01","Mon","Working Day","Working Day","-","1","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm1JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo1JAN2001bhav.csv.zip"
"2","2001-01-02","Tue","Working Day","Working Day","-","2","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm2JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo2JAN2001bhav.csv.zip"
"3","2001-01-03","Wed","Working Day","Working Day","-","3","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm3JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo3JAN2001bhav.csv.zip"
"4","2001-01-04","Thu","Working Day","Working Day","-","4","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm4JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo4JAN2001bhav.csv.zip"
"5","2001-01-05","Fri","Working Day","Working Day","-","5","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm5JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo5JAN2001bhav.csv.zip"
"6","2001-01-06","Sat","Holiday","Holiday","Weekend","6","JAN","2001","",""
"7","2001-01-07","Sun","Holiday","Holiday","Weekend","7","JAN","2001","",""
"8","2001-01-08","Mon","Working Day","Working Day","-","8","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm8JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo8JAN2001bhav.csv.zip"
"9","2001-01-09","Tue","Working Day","Working Day","-","9","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm9JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo9JAN2001bhav.csv.zip"
"10","2001-01-10","Wed","Working Day","Working Day","-","10","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm10JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo10JAN2001bhav.csv.zip"
"11","2001-01-11","Thu","Working Day","Working Day","-","11","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm11JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo11JAN2001bhav.csv.zip"
"12","2001-01-12","Fri","Working Day","Working Day","-","12","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm12JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo12JAN2001bhav.csv.zip"
"13","2001-01-13","Sat","Holiday","Holiday","Weekend","13","JAN","2001","",""
"14","2001-01-14","Sun","Holiday","Holiday","Weekend","14","JAN","2001","",""
"15","2001-01-15","Mon","Working Day","Working Day","-","15","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm15JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo15JAN2001bhav.csv.zip"
"16","2001-01-16","Tue","Working Day","Working Day","-","16","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm16JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo16JAN2001bhav.csv.zip"
"17","2001-01-17","Wed","Working Day","Working Day","-","17","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm17JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo17JAN2001bhav.csv.zip"
"18","2001-01-18","Thu","Working Day","Working Day","-","18","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm18JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo18JAN2001bhav.csv.zip"
"19","2001-01-19","Fri","Working Day","Working Day","-","19","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm19JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo19JAN2001bhav.csv.zip"
"20","2001-01-20","Sat","Holiday","Holiday","Weekend","20","JAN","2001","",""
"21","2001-01-21","Sun","Holiday","Holiday","Weekend","21","JAN","2001","",""
"22","2001-01-22","Mon","Working Day","Working Day","-","22","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm22JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo22JAN2001bhav.csv.zip"
"23","2001-01-23","Tue","Working Day","Working Day","-","23","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm23JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo23JAN2001bhav.csv.zip"
"24","2001-01-24","Wed","Working Day","Working Day","-","24","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm24JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo24JAN2001bhav.csv.zip"
"25","2001-01-25","Thu","Working Day","Working Day","-","25","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm25JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo25JAN2001bhav.csv.zip"
"26","2001-01-26","Fri","Holiday","Holiday","Republic Day","26","JAN","2001","",""
"27","2001-01-27","Sat","Holiday","Holiday","Weekend","27","JAN","2001","",""
"28","2001-01-28","Sun","Holiday","Holiday","Weekend","28","JAN","2001","",""
"29","2001-01-29","Mon","Working Day","Working Day","-","29","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm29JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo29JAN2001bhav.csv.zip"
"30","2001-01-30","Tue","Working Day","Working Day","-","30","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm30JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo30JAN2001bhav.csv.zip"
"31","2001-01-31","Wed","Working Day","Working Day","-","31","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm31JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo31JAN2001bhav.csv.zip"
"32","2001-02-01","Thu","Working Day","Working Day","-","1","FEB","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/FEB/cm1FEB2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/FEB/fo1FEB2001bhav.csv.zip"
"33","2001-02-02","Fri","Working Day","Working Day","-","2","FEB","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/FEB/cm2FEB2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/FEB/fo2FEB2001bhav.csv.zip"
"34","2001-02-03","Sat","Holiday","Holiday","Weekend","3","FEB","2001","",""
"35","2001-02-04","Sun","Holiday","Holiday","Weekend","4","FEB","2001","",""
"36","2001-02-05","Mon","Working Day","Working Day","-","5","FEB","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/FEB/cm5FEB2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/FEB/fo5FEB2001bhav.csv.zip"
"37","2001-02-06","Tue","Working Day","Working Day","-","6","FEB","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/FEB/cm6FEB2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/FEB/fo6FEB2001bhav.csv.zip"
"38","2001-02-07","Wed","Working Day","Working Day","-","7","FEB","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/FEB/cm7FEB2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/FEB/fo7FEB2001bhav.csv.zip"
"39","2001-02-08","Thu","Working Day","Working Day","-","8","FEB","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/FEB/cm8FEB2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/FEB/fo8FEB2001bhav.csv.zip"
"40","2001-02-09","Fri","Working Day","Working Day","-","9","FEB","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/FEB/cm9FEB2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/FEB/fo9FEB2001bhav.csv.zip"
"41","2001-02-10","Sat","Holiday","Holiday","Weekend","10","FEB","2001","",""
"42","2001-02-11","Sun","Holiday","Holiday","Weekend","11","FEB","2001","",""
"43","2001-02-12","Mon","Working Day","Working Day","-","12","FEB","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/FEB/cm12FEB2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/FEB/fo12FEB2001bhav.csv.zip"
"44","2001-02-13","Tue","Working Day","Working Day","-","13","FEB","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/FEB/cm13FEB2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/FEB/fo13FEB2001bhav.csv.zip"
"45","2001-02-14","Wed","Working Day","Working Day","-","14","FEB","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/FEB/cm14FEB2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/FEB/fo14FEB2001bhav.csv.zip"
"46","2001-02-15","Thu","Working Day","Working Day","-","15","FEB","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/FEB/cm15FEB2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/FEB/fo15FEB2001bhav.csv.zip"
"47","2001-02-16","Fri","Working Day","Working Day","-","16","FEB","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/FEB/cm16FEB2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/FEB/fo16FEB2001bhav.csv.zip"
"48","2001-02-17","Sat","Holiday","Holiday","Weekend","17","FEB","2001","",""
"49","2001-02-18","Sun","Holiday","Holiday","Weekend","18","FEB","2001","",""
"50","2001-02-19","Mon","Working Day","Working Day","-","19","FEB","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/FEB/cm19FEB2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/FEB/fo19FEB2001bhav.csv.zip"
"51","2001-02-20","Tue","Working Day","Working Day","-","20","FEB","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/FEB/cm20FEB2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/FEB/fo20FEB2001bhav.csv.zip"
"52","2001-02-21","Wed","Working Day","Working Day","-","21","FEB","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/FEB/cm21FEB2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/FEB/fo21FEB2001bhav.csv.zip"
"53","2001-02-22","Thu","Working Day","Working Day","-","22","FEB","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/FEB/cm22FEB2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/FEB/fo22FEB2001bhav.csv.zip"
"54","2001-02-23","Fri","Working Day","Working Day","-","23","FEB","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/FEB/cm23FEB2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/FEB/fo23FEB2001bhav.csv.zip"
"55","2001-02-24","Sat","Holiday","Holiday","Weekend","24","FEB","2001","",""
"56","2001-02-25","Sun","Holiday","Holiday","Weekend","25","FEB","2001","",""
"57","2001-02-26","Mon","Working Day","Working Day","-","26","FEB","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/FEB/cm26FEB2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/FEB/fo26FEB2001bhav.csv.zip"
"58","2001-02-27","Tue","Working Day","Working Day","-","27","FEB","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/FEB/cm27FEB2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/FEB/fo27FEB2001bhav.csv.zip"
"59","2001-02-28","Wed","Working Day","Working Day","-","28","FEB","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/FEB/cm28FEB2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/FEB/fo28FEB2001bhav.csv.zip"
"60","2001-03-01","Thu","Working Day","Working Day","-","1","MAR","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/MAR/cm1MAR2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/MAR/fo1MAR2001bhav.csv.zip"
"61","2001-03-02","Fri","Working Day","Working Day","-","2","MAR","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/MAR/cm2MAR2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/MAR/fo2MAR2001bhav.csv.zip"
"62","2001-03-03","Sat","Holiday","Holiday","Weekend","3","MAR","2001","",""
"63","2001-03-04","Sun","Holiday","Holiday","Weekend","4","MAR","2001","",""
"64","2001-03-05","Mon","Working Day","Working Day","-","5","MAR","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/MAR/cm5MAR2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/MAR/fo5MAR2001bhav.csv.zip"
"65","2001-03-06","Tue","Holiday","Holiday","Bakri-Id","6","MAR","2001","",""
"66","2001-03-07","Wed","Working Day","Working Day","-","7","MAR","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/MAR/cm7MAR2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/MAR/fo7MAR2001bhav.csv.zip"
"67","2001-03-08","Thu","Working Day","Working Day","-","8","MAR","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/MAR/cm8MAR2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/MAR/fo8MAR2001bhav.csv.zip"
"68","2001-03-09","Fri","Working Day","Working Day","-","9","MAR","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/MAR/cm9MAR2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/MAR/fo9MAR2001bhav.csv.zip"
"69","2001-03-10","Sat","Holiday","Holiday","Holi","10","MAR","2001","",""
"70","2001-03-11","Sun","Holiday","Holiday","Weekend","11","MAR","2001","",""
"71","2001-03-12","Mon","Working Day","Working Day","-","12","MAR","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/MAR/cm12MAR2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/MAR/fo12MAR2001bhav.csv.zip"
"72","2001-03-13","Tue","Working Day","Working Day","-","13","MAR","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/MAR/cm13MAR2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/MAR/fo13MAR2001bhav.csv.zip"
"73","2001-03-14","Wed","Working Day","Working Day","-","14","MAR","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/MAR/cm14MAR2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/MAR/fo14MAR2001bhav.csv.zip"
"74","2001-03-15","Thu","Working Day","Working Day","-","15","MAR","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/MAR/cm15MAR2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/MAR/fo15MAR2001bhav.csv.zip"
"75","2001-03-16","Fri","Working Day","Working Day","-","16","MAR","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/MAR/cm16MAR2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/MAR/fo16MAR2001bhav.csv.zip"
"76","2001-03-17","Sat","Holiday","Holiday","Weekend","17","MAR","2001","",""
"77","2001-03-18","Sun","Holiday","Holiday","Weekend","18","MAR","2001","",""
"78","2001-03-19","Mon","Working Day","Working Day","-","19","MAR","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/MAR/cm19MAR2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/MAR/fo19MAR2001bhav.csv.zip"
"79","2001-03-20","Tue","Working Day","Working Day","-","20","MAR","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/MAR/cm20MAR2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/MAR/fo20MAR2001bhav.csv.zip"
"80","2001-03-21","Wed","Working Day","Working Day","-","21","MAR","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/MAR/cm21MAR2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/MAR/fo21MAR2001bhav.csv.zip"
"81","2001-03-22","Thu","Working Day","Working Day","-","22","MAR","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/MAR/cm22MAR2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/MAR/fo22MAR2001bhav.csv.zip"
