"Date","Day","For Trading","For Settlement","Reason","Date","Month","Year","URL"
"2001-01-01","Mon","Working Day","Working Day",,1,"JAN",2001,"http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm1JAN2001bhav.csv.zip"
"2001-01-02","Tue","Working Day","Working Day",,2,"JAN",2001,"http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm2JAN2001bhav.csv.zip"
"2001-01-03","Wed","Working Day","Working Day",,3,"JAN",2001,"http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm3JAN2001bhav.csv.zip"
"2001-01-04","Thu","Working Day","Working Day",,4,"JAN",2001,"http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm4JAN2001bhav.csv.zip"
"2001-01-05","Fri","Working Day","Working Day",,5,"JAN",2001,"http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm5JAN2001bhav.csv.zip"
"2001-01-06","Sat","Holiday","Holiday","Weekend",6,"JAN",2001,"NA"
"2001-01-07","Sun","Holiday","Holiday","Weekend",7,"JAN",2001,"NA"
"2001-01-08","Mon","Working Day","Working Day",,8,"JAN",2001,"http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm8JAN2001bhav.csv.zip"
"2001-01-09","Tue","Working Day","Working Day",,9,"JAN",2001,"http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm9JAN2001bhav.csv.zip"
"2001-01-10","Wed","Working Day","Working Day",,10,"JAN",2001,"http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm10JAN2001bhav.csv.zip"
"2001-01-11","Thu","Working Day","Working Day",,11,"JAN",2001,"http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm11JAN2001bhav.csv.zip"
"2001-01-12","Fri","Working Day","Working Day",,12,"JAN",2001,"http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm12JAN2001bhav.csv.zip"
"2001-01-13","Sat","Holiday","Holiday","Weekend",13,"JAN",2001,"NA"
"2001-01-14","Sun","Holiday","Holiday","Weekend",14,"JAN",2001,"NA"
"2001-01-15","Mon","Working Day","Working Day",,15,"JAN",2001,"http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm15JAN2001bhav.csv.zip"
"2001-01-16","Tue","Working Day","Working Day",,16,"JAN",2001,"http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm16JAN2001bhav.csv.zip"
"2001-01-17","Wed","Working Day","Working Day",,17,"JAN",2001,"http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm17JAN2001bhav.csv.zip"
"2001-01-18","Thu","Working Day","Working Day",,18,"JAN",2001,"http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm18JAN2001bhav.csv.zip"
"2001-01-19","Fri","Working Day","Working Day",,19,"JAN",2001,"http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm19JAN2001bhav.csv.zip"
"2001-01-20","Sat","Holiday","Holiday","Weekend",20,"JAN",2001,"NA"
"2001-01-21","Sun","Holiday","Holiday","Weekend",21,"JAN",2001,"NA"
"2001-01-22","Mon","Working Day","Working Day",,22,"JAN",2001,"http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm22JAN2001bhav.csv.zip"
"2001-01-23","Tue","Working Day","Working Day",,23,"JAN",2001,"http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm23JAN2001bhav.csv.zip"
"2001-01-24","Wed","Working Day","Working Day",,24,"JAN",2001,"http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm24JAN2001bhav.csv.zip"
"2001-01-25","Thu","Working Day","Working Day",,25,"JAN",2001,"http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm25JAN2001bhav.csv.zip"
"2001-01-26","Fri","Holiday","Holiday","Republic Day",26,"JAN",2001,"NA"
"2001-01-27","Sat","Holiday","Holiday","Weekend",27,"JAN",2001,"NA"
"2001-01-28","Sun","Holiday","Holiday","Weekend",28,"JAN",2001,"NA"
"2001-01-29","Mon","Working Day","Working Day",,29,"JAN",2001,"http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm29JAN2001bhav.csv.zip"
"2001-01-30","Tue","Working Day","Working Day",,30,"JAN",2001,"http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm30JAN2001bhav.csv.zip"
"2001-01-31","Wed","Working Day","Working Day",,31,"JAN",2001,"http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm31JAN2001bhav.csv.zip"
"2001-02-01","Thu","Working Day","Working Day",,1,"FEB",2001,"http://www.nseindia.com/content/historical/EQUITIES/2001/FEB/cm1FEB2001bhav.csv.zip"
"2001-02-02","Fri","Working Day","Working Day",,2,"FEB",2001,"http://www.nseindia.com/content/historical/EQUITIES/2001/FEB/cm2FEB2001bhav.csv.zip"
"2001-02-03","Sat","Holiday","Holiday","Weekend",3,"FEB",2001,"NA"
"2001-02-04","Sun","Holiday","Holiday","Weekend",4,"FEB",2001,"NA"
"2001-02-05","Mon","Working Day","Working Day",,5,"FEB",2001,"http://www.nseindia.com/content/historical/EQUITIES/2001/FEB/cm5FEB2001bhav.csv.zip"
