"","Date","Day","For Trading","For Settlement","Reason","Date","Month","Year","Equity URL","Derivative URL","WDM URL","DEBT URL","RDM URL","SLBS URL"
"1","2001-01-01","Mon","Working Day","Working Day","-","1","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm1JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo1JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/WDM/2001/JAN/wdmlist_112001.csv","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"2","2001-01-02","Tue","Working Day","Working Day","-","2","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm2JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo2JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/WDM/2001/JAN/wdmlist_212001.csv","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"3","2001-01-03","Wed","Working Day","Working Day","-","3","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm3JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo3JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/WDM/2001/JAN/wdmlist_312001.csv","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"4","2001-01-04","Thu","Working Day","Working Day","-","4","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm4JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo4JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/WDM/2001/JAN/wdmlist_412001.csv","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"5","2001-01-05","Fri","Working Day","Working Day","-","5","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm5JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo5JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/WDM/2001/JAN/wdmlist_512001.csv","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"6","2001-01-06","Sat","Holiday","Holiday","Weekend","6","JAN","2001","","","6","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"7","2001-01-07","Sun","Holiday","Holiday","Weekend","7","JAN","2001","","","7","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"8","2001-01-08","Mon","Working Day","Working Day","-","8","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm8JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo8JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/WDM/2001/JAN/wdmlist_812001.csv","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"9","2001-01-09","Tue","Working Day","Working Day","-","9","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm9JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo9JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/WDM/2001/JAN/wdmlist_912001.csv","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"10","2001-01-10","Wed","Working Day","Working Day","-","10","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm10JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo10JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/WDM/2001/JAN/wdmlist_1012001.csv","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"11","2001-01-11","Thu","Working Day","Working Day","-","11","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm11JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo11JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/WDM/2001/JAN/wdmlist_1112001.csv","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"12","2001-01-12","Fri","Working Day","Working Day","-","12","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm12JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo12JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/WDM/2001/JAN/wdmlist_1212001.csv","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"13","2001-01-13","Sat","Holiday","Holiday","Weekend","13","JAN","2001","","","13","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"14","2001-01-14","Sun","Holiday","Holiday","Weekend","14","JAN","2001","","","14","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"15","2001-01-15","Mon","Working Day","Working Day","-","15","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm15JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo15JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/WDM/2001/JAN/wdmlist_1512001.csv","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"16","2001-01-16","Tue","Working Day","Working Day","-","16","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm16JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo16JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/WDM/2001/JAN/wdmlist_1612001.csv","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"17","2001-01-17","Wed","Working Day","Working Day","-","17","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm17JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo17JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/WDM/2001/JAN/wdmlist_1712001.csv","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"18","2001-01-18","Thu","Working Day","Working Day","-","18","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm18JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo18JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/WDM/2001/JAN/wdmlist_1812001.csv","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"19","2001-01-19","Fri","Working Day","Working Day","-","19","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm19JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo19JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/WDM/2001/JAN/wdmlist_1912001.csv","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"20","2001-01-20","Sat","Holiday","Holiday","Weekend","20","JAN","2001","","","20","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"21","2001-01-21","Sun","Holiday","Holiday","Weekend","21","JAN","2001","","","21","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"22","2001-01-22","Mon","Working Day","Working Day","-","22","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm22JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo22JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/WDM/2001/JAN/wdmlist_2212001.csv","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"23","2001-01-23","Tue","Working Day","Working Day","-","23","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm23JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo23JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/WDM/2001/JAN/wdmlist_2312001.csv","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"24","2001-01-24","Wed","Working Day","Working Day","-","24","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm24JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo24JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/WDM/2001/JAN/wdmlist_2412001.csv","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"25","2001-01-25","Thu","Working Day","Working Day","-","25","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm25JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo25JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/WDM/2001/JAN/wdmlist_2512001.csv","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"26","2001-01-26","Fri","Holiday","Holiday","Republic Day","26","JAN","2001","","","26","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"27","2001-01-27","Sat","Holiday","Holiday","Weekend","27","JAN","2001","","","27","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"28","2001-01-28","Sun","Holiday","Holiday","Weekend","28","JAN","2001","","","28","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"29","2001-01-29","Mon","Working Day","Working Day","-","29","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm29JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo29JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/WDM/2001/JAN/wdmlist_2912001.csv","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
"30","2001-01-30","Tue","Working Day","Working Day","-","30","JAN","2001","http://www.nseindia.com/content/historical/EQUITIES/2001/JAN/cm30JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2001/JAN/fo30JAN2001bhav.csv.zip","http://www.nseindia.com/content/historical/WDM/2001/JAN/wdmlist_3012001.csv","http://www.nseindia.com/archives/debt/cbm/cbm_trd20111230.csv","http://www.nseindia.com/content/historical/RDM/2011/DEC/rdm30DEC2011bhav.csv.zip","http://www.nseindia.com/archives/slbs/bhavcopy/SLBM_BC_30122011.DAT"
